community_id,city,state
602,Beaverton,OR
455,Coos Bay,OR
13727,Fairbury,NE
5481,Victoria,BC
118,Atlanta,GA
67130,Dallas,TX
26187,Miami,MB
1817,Waco,TX
8006,Mentor,OH
2526,Elmhurst,IL
305,Spring,TX
265,Indianapolis,IN
775,Van Nuys,CA
4263,Troy,NY
8226,Festus,MO
187,Middleton,WI
242,Denver,CO
6531,Canandaigua,NY
1806,Redondo Beach,CA
1332,Monroe,NC
539,Tucson,AZ
9934,Owatonna,MN
634,Raleigh,NC
516,Bedford,NH
7641,Belleville,IL
4864,Holland,MI
3044,Brimfield,MA
2442,Basking Ridge,NJ
2258,Livermore,CA
14408,Sun Valley,ID
1376,Wheat Ridge,CO
16591,Fort Loramie,OH
972,Asheville,NC
23008,Houston,BC
2065,Clermont,FL
2165,Ridgewood,NJ
200,Saint Paul,MN
16386,Pelahatchie,MS
3271,Longview,WA
7021,North York,ON
7361,Saskatoon,SK
465,Allen,TX
4745,Briarcliff Manor,NY
2741,Cape Coral,FL
673,Olympia,WA
55944,Grassy Lake,AB
6056,Missoula,MT
8817,Peterborough,ON
2607,Oceanside,CA
960,Saint Louis,MO
1380,East Brunswick,NJ
866,Spanaway,WA
549,Little Falls,NJ
180,Chevy Chase,MD
2618,Shelbyville,TN
4110,Berlin,CT
4842,Regina,SK
1545,Franklin,TN
128,Kansas City,MO
1752,Calgary,AB
9482,New Haven,IN
4796,Hilton Head Island,SC
184,San Francisco,CA
7063,Oshawa,ON
137,Washington,DC
1244,Murrieta,CA
1942,Lockport,IL
8948,Canmore,AB
6212,Champaign,IL
2813,Culver City,CA
2698,Staunton,VA
3055,Brantford,ON
13823,Hot Springs National Park,AR
4680,La Crosse,WI
1138,Riverside,CA
8612,Mahomet,IL
5462,Madison,TN
2984,Saint Augustine,FL
3017,Greenvale,NY
3043,Sedona,AZ
3496,New York,NY
9973,Wenatchee,WA
4699,Antioch,CA
557,San Antonio,TX
11067,Chatham,ON
1534,Calabasas,CA
7897,Little Compton,RI
1914,Bel Air,MD
3692,Akron,OH
8075,Saline,MI
3659,San Ramon,CA
315,Plano,TX
121,Phoenix,AZ
2023,Englewood,CO
4784,Vincennes,IN
3033,Fernandina Beach,FL
1366,North Brunswick,NJ
579,Lake Forest,CA
873,Tacoma,WA
6597,Thornhill,ON
149,Boulder,CO
3252,Landenberg,PA
3670,West Hollywood,CA
3515,New York,NY
17647,Guild,TN
5029,Middletown,OH
2659,Encinitas,CA
14856,Saint Marys,OH
3519,New York,NY
297,Fort Myers,FL
1097,Hinsdale,IL
461,Durham,NC
3952,Willow Grove,PA
861,Mission Viejo,CA
8762,Lebanon,PA
1358,Cary,NC
6452,Delta,BC
2628,Glendora,CA
6323,Panama City,FL
1127,Vancouver,WA
160,East Weymouth,MA
1401,Woodland Hills,CA
1083,Littleton,CO
2720,Fullerton,CA
7910,Dublin,GA
332,Anchorage,AK
468,San Diego,CA
282,Pinellas Park,FL
586,Oakland,CA
143,Waltham,MA
17854,Garson,ON
6619,Vandalia,OH
2999,Danville,CA
368,Melbourne,FL
306,Watertown,MA
3983,Hesperia,CA
1268,Saint Paul,OR
3640,Camarillo,CA
29201,Akron,CO
4079,Scottsville,NY
3345,Charlottesville,VA
1567,Tujunga,CA
2396,Surprise,AZ
67131,Dallas,TX
5406,Hellertown,PA
2816,Santa Clara,CA
18967,Ashton,MD
1038,Greensboro,NC
3117,Surrey,BC
6553,Westerville,OH
1200,Brentwood,TN
1744,Englewood,NJ
4161,Amarillo,TX
281,East Greenwich,RI
3107,Gainesville,GA
2574,Lacey,WA
2315,Ontario,CA
2145,Doylestown,PA
1049,Buford,GA
20295,Newborn,GA
518,Easthampton,MA
6512,Wilson,NC
931,Meridian,ID
122,Olathe,KS
3084,Burnaby,BC
1992,Pompton Plains,NJ
42545,Hadashville,MB
2512,Pensacola,FL
116,Deerfield,IL
3202,Valencia,CA
738,Hackensack,NJ
9763,Rehoboth Beach,DE
150,Virginia Beach,VA
10034,Bethany Beach,DE
6344,Phoenix,MD
6864,Shelton,WA
3273,Stafford,VA
5454,Portage,IN
15123,Urbanna,VA
6027,St Catharines,ON
5714,Conifer,CO
3689,Kearney,NE
4346,New Haven,CT
1009,Peoria,AZ
1690,Schenectady,NY
471,Dover,DE
3448,Pottstown,PA
7162,Kalispell,MT
17996,Murtaugh,ID
6258,North Vancouver,BC
2195,Georgetown,TX
7077,West Lafayette,IN
9319,Marion,IL
7624,Ranger,TX
19143,Westfield,NY
1424,Montreal,QC
1161,Snellville,GA
1445,Eau Claire,WI
13361,Beech Creek,PA
3713,Havertown,PA
3151,Lubbock,TX
21080,Hampton,IA
7835,Creswell,OR
2149,Bergenfield,NJ
5000,Rexburg,ID
3518,New York,NY
2770,Comox,BC
725,Waldorf,MD
4025,Wilmette,IL
65,Somerville,MA
5503,Waterloo,ON
8029,Meridian,MS
6579,Grove City,PA
3085,Fredericksburg,VA
3224,Palm Coast,FL
1761,Santa Barbara,CA
6401,Burleson,TX
3819,Destin,FL
267,Scottsdale,AZ
495,Newburyport,MA
8574,Martensville,SK
912,League City,TX
4712,Henrico,VA
1207,Tulsa,OK
10126,Durham Bridge,NB
1008,Vincentown,NJ
1586,Colorado Springs,CO
256,Houston,TX
911,Bakersfield,CA
7935,Portsmouth,RI
2447,West Palm Beach,FL
6573,High Point,NC
5437,Halifax,NS
3833,Middletown,RI
1300,Suffolk,VA
1981,Des Moines,IA
933,Cincinnati,OH
28755,Westmoreland City,PA
3377,Provo,UT
7092,Springville,UT
1672,Albuquerque,NM
274,Tampa,FL
6020,Easton,PA
397,Palm Harbor,FL
29489,Mc Lean,VA
4358,Fairburn,GA
13417,Algona,IA
4257,Modesto,CA
11119,Hurricane,UT
2036,Des Plaines,IL
19104,Shenandoah,IA
214,South Easton,MA
10579,Chardon,OH
4020,Barrie,ON
3282,Farmington,ME
308,Stoneham,MA
2812,Marina Del Rey,CA
659,Santa Cruz,CA
917,San Clemente,CA
2714,Hamilton,ON
1218,Syracuse,NY
6932,Franklin,WI
1759,Sechelt,BC
8000,Palmerton,PA
1795,Erie,CO
4664,Kailua Kona,HI
1461,Islandia,NY
820,Rancho Santa Margarita,CA
1027,Ogden,UT
4526,San Leandro,CA
2448,Dayton,NV
6132,Arlington,TN
1386,Bronx,NY
3881,Hamilton,OH
4076,Ojai,CA
9425,New Hudson,MI
6000,Winston Salem,NC
2053,Ipswich,MA
6315,Austin,TX
357,South Orange,NJ
336,Aurora,CO
6608,North Myrtle Beach,SC
3065,Batavia,NY
109,Austin,TX
375,Clearwater,FL
2102,Riverview,FL
9557,Bryant,AR
934,Rancho Cordova,CA
2671,Dacono,CO
4443,Torrington,CT
10210,Lloydminster,AB
9943,Lihue,HI
3168,Corpus Christi,TX
1334,River Falls,WI
3765,Sherwood Park,AB
21648,Winter Harbor,ME
12140,Madison,NH
10191,Sabillasville,MD
3903,Jenkintown,PA
3210,North Conway,NH
1935,Mobile,AL
3259,Qualicum Beach,BC
4523,Maple Grove,MN
3298,Ottawa,ON
5819,Snoqualmie,WA
4642,Leland,NC
2818,Richardson,TX
6071,Kingston,ON
1289,Valley Stream,NY
16556,Belgrade,ME
5678,Welland,ON
7715,O Fallon,MO
245,Memphis,TN
4370,San Rafael,CA
302,Southfield,MI
9928,Okotoks,AB
511,Albany,NY
1396,West Hills,CA
3037,Pelham,NY
6058,Nazareth,PA
9135,Midway,UT
262,Pittsburgh,PA
9515,Huron,SD
3753,Post Falls,ID
1633,Louisville,CO
768,Parsippany,NJ
285,Louisville,KY
5778,Clinton,MD
3294,White Plains,NY
8241,Sartell,MN
4653,Valparaiso,IN
701,Lewisville,TX
1400,Chatsworth,CA
3494,New York,NY
8394,Chester,MD
7428,Oak Harbor,WA
217,Warwick,RI
9442,Mc Kees Rocks,PA
1148,Westminster,CO
13041,Canora,SK
2601,Syosset,NY
19478,Rye,CO
496,Corona,CA
3442,Allendale,MI
1223,Kalamazoo,MI
10314,Port Saint Joe,FL
3209,Clarksburg,MD
938,Glendale,AZ
2025,Barrington,IL
3865,Rhinebeck,NY
5357,Blairstown,NJ
6231,Woodstock,CT
15719,Monrovia,MD
7784,Grantville,PA
563,San Carlos,CA
1570,Whitehall,PA
8520,Olean,NY
4778,Augusta,GA
327,Richmond,VA
7566,Niles,OH
10371,Canton,NY
5703,Harlingen,TX
5679,Green Valley,AZ
4917,Lafayette,LA
7245,Meadville,PA
78680,Skookumchuck,BC
8983,Guymon,OK
1749,Poughkeepsie,NY
5209,Austin,TX
7350,Windsor,ON
10746,Winchester,KY
21743,La Crete,AB
3041,Hermosa Beach,CA
2941,Morton Grove,IL
7367,Brandon,MS
11889,Columbus,NE
3127,Lake Orion,MI
6571,Cedar City,UT
10004,Schomberg,ON
1871,Pasadena,CA
5388,Lethbridge,AB
544,Hooksett,NH
14058,Brawley,CA
3702,Compton,CA
829,Odessa,TX
7570,Youngstown,OH
7701,Pataskala,OH
2590,Apollo Beach,FL
3329,Ocala,FL
556,San Jose,CA
5395,Florence,SC
8756,Clarkston,MI
486,Needham,MA
26028,Hepburn,SK
6913,Sturgeon Bay,WI
12290,Carterville,IL
14209,East Mc Keesport,PA
3186,Springdale,AR
19323,Flint Hill,VA
9917,Black Hawk,CO
1031,Gilbert,AZ
2279,Manassas,VA
1054,Holly Springs,NC
339,Southaven,MS
24820,Garberville,CA
4983,Mason,OH
875,Roseville,CA
6451,Richmond,BC
15048,Bucksport,ME
3143,Topeka,KS
4344,Lakeville,MN
38852,Sunflower,MS
2293,Astoria,NY
16700,Indian Lake,NY
8371,Winnipeg,MB
14877,Minocqua,WI
2016,Parker,CO
2867,Douglasville,GA
6393,Valley Village,CA
2850,Oyster Bay,NY
179,Lake Forest,IL
2092,Clarence,NY
745,Leawood,KS
814,Pompano Beach,FL
4231,Raymore,MO
5817,Pell City,AL
993,Woburn,MA
3398,Herndon,VA
8835,Stoney Creek,ON
3497,New York,NY
1921,Sugar Land,TX
5097,Everett,WA
3221,Hillside,NJ
904,Southlake,TX
1137,Westmont,IL
3054,Edmond,OK
8659,Ft Mitchell,KY
107,Westborough,MA
2346,Walnut Creek,CA
1014,Gaithersburg,MD
1033,Bend,OR
2863,San Gabriel,CA
16924,Fair Play,SC
10606,Millstone Township,NJ
965,Highland Park,IL
1880,Huntington Beach,CA
1072,Sandy,UT
8068,Oxford,PA
3730,Tavares,FL
1617,Agoura Hills,CA
6266,Menasha,WI
5463,Murrells Inlet,SC
841,Montgomery,TX
9773,Richmond,IN
3609,New York,NY
3717,Inver Grove Heights,MN
10040,Chesterland,OH
2174,Cedar Park,TX
3502,New York,NY
20934,Woodlake,CA
329,Gainesville,FL
5086,Lehi,UT
2493,Yonkers,NY
8282,Red Deer,AB
4282,Vienna,VA
6387,Chanhassen,MN
981,Norwalk,CT
2710,Melville,NY
5391,Wylie,TX
2748,Sheridan,WY
1976,Charleston,SC
1164,West Jordan,UT
1547,Boca Raton,FL
10524,Albrightsville,PA
850,Longmont,CO
6866,Fallbrook,CA
98,Chelmsford,MA
364,Detroit,MI
1271,Kahului,HI
1593,Temecula,CA
3667,Oklahoma City,OK
25101,De Graff,OH
4349,Shelton,CT
7539,Kaysville,UT
5706,Hunt Valley,MD
147,Harrisonburg,VA
8445,Mechanicsville,MD
6042,Sumter,SC
3258,Ann Arbor,MI
8446,Squamish,BC
3227,Waterloo,IA
7789,Dundee,IL
10427,Jasper,AB
5486,Titusville,FL
3826,Cypress,TX
3998,Ramsey,NJ
712,Powder Springs,GA
948,Evansville,IN
1025,Rochester,NY
469,Columbus,OH
12816,Sicamous,BC
6997,Tubac,AZ
3484,Boston,MA
3716,Las Cruces,NM
594,Santa Maria,CA
2965,Erie,PA
10660,Rural Hall,NC
7287,Marysville,OH
5183,Austin,TX
4645,Dublin,OH
1385,Lexington,KY
2913,Newnan,GA
3979,Los Alamitos,CA
1073,Gonzales,TX
5523,Haltom City,TX
3737,Homestead,FL
8872,Tillsonburg,ON
2532,Evanston,IL
7706,Columbus,GA
4240,Lemon Grove,CA
12677,Mexico,MO
1351,Bonita Springs,FL
4930,Whistler,BC
16621,Carthage,TX
391,Nashville,TN
24476,Chepstow,ON
1281,Utica,NY
2233,Fair Haven,NJ
323,Northborough,MA
806,Folsom,CA
9538,Camden,ME
1016,Lanham,MD
6304,Lindale,TX
2029,Mount Prospect,IL
1636,Clark,NJ
16165,Norway,MI
23724,Rembert,SC
3710,Wappingers Falls,NY
5451,Glens Falls,NY
2878,Goleta,CA
5661,Lahaina,HI
9461,Ruston,LA
949,Beltsville,MD
20639,High Level,AB
859,Fairfield,PA
4502,Johnson City,TN
261,Farmington,MI
7973,Dunnville,ON
3269,State College,PA
4765,South Portland,ME
950,Tempe,AZ
3238,Statesville,NC
7323,Canonsburg,PA
2651,San Marcos,CA
7019,Woodbridge,ON
2495,Wheaton,IL
1414,Warren,NJ
20081,Rosebud,AB
316,Tallahassee,FL
2911,Yuba City,CA
4226,Southbury,CT
2360,Lynbrook,NY
14746,Aynor,SC
3658,Fairfield,CA
8237,West Kelowna,BC
1410,Bayport,NY
3960,Newtown,CT
559,Sacramento,CA
3160,Fort Myers Beach,FL
4265,London,ON
3463,Clifton Park,NY
4408,Alpine,CA
5545,South Burlington,VT
29321,Scribner,NE
13929,Williamsburg,MI
284,Bloomingdale,IL
10636,Quitman,TX
9049,North Bay,ON
4759,Salinas,CA
3644,Dayton,OH
793,Lafayette,IN
11907,Cheney,WA
1002,Woodridge,IL
9113,Nelson,BC
2811,Glendale Heights,IL
926,Savannah,GA
6595,Grimsby,ON
9129,Yellowknife,NT
4709,Coquitlam,BC
5843,Ithaca,NY
5360,Middleburg,VA
10751,Albion,MI
2972,Victorville,CA
2298,Bristol,PA
354,Somerville,NJ
985,Golden,CO
4571,Appleton,WI
4347,Burnsville,MN
7027,Etobicoke,ON
7790,Clinton,NY
568,Healdsburg,CA
7072,Racine,WI
530,West Orange,NJ
2409,Brighton,CO
3042,Port Angeles,WA
2978,Champlin,MN
8508,Lindon,UT
831,Hiram,GA
4582,Andover,CT
3682,Niceville,FL
15991,Shelby,OH
13345,Franklin,LA
1191,Edmonds,WA
5126,Eagle Mountain,UT
403,Grand Rapids,MI
1109,Westport,CT
5319,Orange City,FL
6520,Nokomis,IL
2371,East Meadow,NY
103,Norwell,MA
11729,Bush,LA
10885,Glenrock,WY
2398,Winter Garden,FL
1042,Chandler,AZ
15675,Wroxeter,ON
2104,Thousand Oaks,CA
3073,San Luis Obispo,CA
11194,Cranbrook,BC
13441,Pride,LA
8706,Woodstock,ON
1471,Bay Shore,NY
5012,Sedalia,CO
6980,Markham,ON
5497,Langley,BC
2523,San Dimas,CA
4692,Purchase,NY
3495,New York,NY
2889,Hutto,TX
22239,Aragon,GA
658,Concord,CA
5500,Kamloops,BC
1529,Southport,CT
1279,Columbia,SC
14812,Tooele,UT
253,Reseda,CA
2263,Anaheim,CA
3207,Magnolia,TX
11658,Puslinch,ON
3358,Manteca,CA
523,Skokie,IL
12198,Waterloo,NE
22256,Jasper,TN
1940,Sparks,NV
4748,Macon,GA
2287,East Syracuse,NY
2539,Jacksonville Beach,FL
1459,Irmo,SC
4033,Ossining,NY
419,Mullica Hill,NJ
233,Alpharetta,GA
1978,Tonawanda,NY
4015,Carlsbad,NM
3268,Brenham,TX
3470,Boston,MA
1266,Fort Worth,TX
5992,Orangeburg,NY
7793,Green Cove Springs,FL
1077,New Port Richey,FL
6394,Rockton,IL
1303,Napa,CA
5233,Hebron,KY
8257,Oshkosh,WI
6819,Elko,NV
6190,Auburn,AL
1751,Lake Zurich,IL
6540,Hobart,IN
6019,Dandridge,TN
3133,Washingtonville,NY
2875,Frisco,TX
3569,New York,NY
6633,Grand Haven,MI
154,Providence,RI
1265,Glen Burnie,MD
1051,Norcross,GA
537,Milwaukee,WI
9689,Pendleton,IN
680,Burbank,CA
144,Alexandria,VA
5823,Bothell,WA
4826,Farmington,MN
1796,Altamonte Springs,FL
9415,Oxford,MS
3440,Huntley,IL
12837,Dawson Creek,BC
3244,Thomaston,ME
1648,Medford,NY
6418,Fort Mill,SC
3257,Cottonwood,AZ
5863,Columbia,TN
18345,Kimberly,ID
13654,Bellaire,MI
3344,Myrtle Beach,SC
2687,Woodbury,NY
201,Venice,FL
8777,Augusta,KS
258,Duluth,GA
14531,Norwich,VT
15334,Deer Park,WA
2295,Forest Hills,NY
670,Lyndhurst,NJ
1902,Los Gatos,CA
1021,Pewaukee,WI
6661,Brampton,ON
2820,Fort Walton Beach,FL
209,Baltimore,MD
2203,Saddle River,NJ
5537,New Berlin,WI
5560,Traverse City,MI
7424,Big Bear Lake,CA
3374,Moorpark,CA
7922,Gwynn Oak,MD
2180,Round Rock,TX
2543,Maplewood,NJ
2419,Woodmere,NY
447,East Bridgewater,MA
9382,Campbell,OH
3468,Boston,MA
2780,Argyle,TX
1681,Palm Springs,CA
5114,Ramona,CA
6687,Groveport,OH
3079,Coweta,OK
365,Antioch,TN
799,Central Point,OR
6241,Stouffville,ON
7334,Harwood Heights,IL
7478,Lake Placid,FL
1626,Thousand Palms,CA
4763,Mill Valley,CA
2485,Jupiter,FL
4139,Herriman,UT
2750,Cheyenne,WY
2310,Dana Point,CA
2355,Council Bluffs,IA
7054,Guelph,ON
842,Cherry Hill,NJ
3648,Coatesville,PA
3815,Happy Valley,OR
1487,Lakeland,FL
3403,Crystal River,FL
2208,Easley,SC
3643,Pueblo,CO
1173,Grandview,MO
3783,Wilsonville,OR
4993,Troutdale,OR
192,Suisun City,CA
2176,Babylon,NY
2125,Holden,MA
6700,Port Monmouth,NJ
4986,Monterey,CA
6532,Marco Island,FL
598,Albany,CA
1152,Dacula,GA
4893,Chicopee,MA
434,Corvallis,OR
2410,Kissimmee,FL
7797,New Castle,PA
11911,Nederland,CO
3184,Mckinney,TX
3100,Roanoke,TX
2971,Mount Vernon,NY
286,Fort Lauderdale,FL
4044,Fremont,CA
10009,Newport,MI
3376,Anoka,MN
15364,Tremonton,UT
6170,Bellingham,WA
5256,Portland,ME
2738,Keller,TX
944,Dundee,OR
2269,Pontiac,MI
878,Puyallup,WA
3109,Glenwood Springs,CO
6254,Waller,TX
4697,Cupertino,CA
570,La Crescenta,CA
2665,Wesley Chapel,FL
1530,Apex,NC
8744,Olive Branch,MS
10715,Ashland,MO
11875,Medical Lake,WA
5794,Carrollton,GA
6544,Rio Rancho,NM
9944,Laredo,TX
28090,Maplecrest,NY
708,Overland Park,KS
490,Pleasanton,CA
6628,Sebastopol,CA
7813,Gatineau,QC
8919,Tehachapi,CA
8018,Bullard,TX
135,Burke,VA
5335,Norwalk,IA
1198,Mesquite,TX
16019,Mineral Point,WI
9697,Ozark,AL
2516,Princeton Junction,NJ
643,Garfield,NJ
4535,Eudora,KS
603,Hollister,CA
312,Rocky Mount,NC
3459,Kelowna,BC
3002,Northfield,NJ
6440,Maple Ridge,BC
4764,Novato,CA
67135,Dallas,TX
1598,Glendale,CA
6718,Buellton,CA
2253,Farmington,CT
2769,Cardiff by the Sea,CA
206,Jersey City,NJ
280,Lynnwood,WA
7215,Wasaga Beach,ON
5081,Kyle,TX
1548,Birmingham,AL
8327,North Woodstock,NH
4075,Glen Mills,PA
289,Knoxville,TN
8527,Marysville,WA
1117,Smyrna,TN
13124,Crossfield,AB
15335,Lytle,TX
6860,Branford,CT
6606,Rutland,VT
3360,Abilene,TX
5512,Inverness,FL
8101,Trenton,MI
6591,Snohomish,WA
14891,Storm Lake,IA
15152,Manchester Township,NJ
1702,Frazier Park,CA
7630,Wausau,WI
3898,Edgewood,MD
15795,Holland Patent,NY
5259,Bay Village,OH
2170,Leander,TX
1815,Grand Prairie,TX
903,Wichita,KS
2000,Ankeny,IA
1507,Walla Walla,WA
3223,Lake Oswego,OR
830,Chesapeake,VA
4324,Downingtown,PA
1126,Nampa,ID
5314,Bangor,ME
4335,Forest Lake,MN
3868,River Edge,NJ
591,Upper Marlboro,MD
5682,Silverdale,WA
1807,Huntsville,AL
2325,Santa Ana,CA
12496,New Hamburg,ON
3409,Boerne,TX
3357,Eaton Rapids,MI
6147,Malverne,NY
8431,Yuma,CO
3061,Warrenville,IL
6010,Ypsilanti,MI
1058,Apache Junction,AZ
1732,Wellington,FL
2137,Rockford,MI
2729,Punta Gorda,FL
3431,Lawrence,KS
406,Oldsmar,FL
1929,Addison,IL
409,Dunedin,FL
1551,Farmington,UT
1882,Mount Juliet,TN
13736,Choteau,MT
21965,Baldwin,GA
2633,West Covina,CA
3118,Abbotsford,BC
3785,West Linn,OR
76174,Riverdale,NE
3769,Dearborn,MI
2987,Deltona,FL
20891,Columbia Falls,ME
5847,Berlin,MD
1131,Grayson,GA
2578,Springfield,IL
67134,Dallas,TX
583,Orange,CA
5344,Petaluma,CA
159,Quincy,IL
2297,Flushing,NY
1915,Hillsborough,NJ
3292,Lake Mary,FL
343,Elkridge,MD
6841,Key West,FL
3520,New York,NY
1196,Shepherdstown,WV
1787,Winter Park,FL
20080,Springwater,NY
15810,Windham,NY
7465,Aylmer,ON
3072,Issaquah,WA
2810,North Fort Myers,FL
9059,New Alexandria,PA
4209,Newington,CT
5480,Universal City,TX
4113,Olney,MD
6458,Chilliwack,BC
1499,Lewes,DE
3894,Pasadena,TX
1019,Honolulu,HI
7062,South Bend,IN
817,Arvada,CO
8482,Saint Joseph,MO
6366,Morgantown,WV
2224,Mahwah,NJ
4114,Meriden,CT
14191,La Place,LA
5769,Lynchburg,VA
3194,Cortez,FL
3200,Fairfax,VA
3822,Southampton,PA
1149,Garden City,ID
17017,Frostburg,MD
10084,Montrose,CO
1089,Vista,CA
13776,Kingsville,TX
1253,Okemos,MI
4069,Federal Way,WA
4303,Shelby,NC
10197,Daleville,AL
1820,Westfield,IN
6684,Beech Grove,IN
26973,Ferron,UT
9535,Crested Butte,CO
8663,Duncan,BC
4647,Germantown,TN
8500,Winchester,TN
8611,Spring Hill,TN
9313,Slidell,LA
299,Saint Petersburg,FL
2692,Englewood,FL
432,Albany,OR
10656,Copperopolis,CA
25522,Cecil,PA
8066,Dorchester,ON
1178,Roswell,GA
20593,Girdwood,AK
7044,Pickerington,OH
429,Metairie,LA
18866,Minesing,ON
4451,Sykesville,MD
12795,Dumas,TX
2859,Estero,FL
1124,Newton Center,MA
23452,White Haven,PA
450,Bartonsville,PA
9358,Seminole,TX
5751,South Hackensack,NJ
2330,Woodcliff Lake,NJ
9389,Levelland,TX
1269,Edison,NJ
5925,Felton,CA
9786,Barre,VT
18416,Flora,IL
5984,Paso Robles,CA
3389,Island Heights,NJ
4625,Rapid City,SD
7233,Magnolia,DE
24731,La Ronge,SK
10590,Ivins,UT
12836,Polson,MT
3891,Chagrin Falls,OH
5037,Chester,NY
4949,Tulare,CA
4938,Fairfield,OH
3832,Cornelius,NC
13148,Plover,WI
80797,Shelly,MN
269,Medford,OR
1004,Brookfield,WI
5250,Urbandale,IA
311,Billings,MT
9021,Spanish Fork,UT
3768,Bellevue,WA
294,Carrollton,TX
2077,North Babylon,NY
5935,Beaumont,TX
4467,North Salt Lake,UT
1726,Waukee,IA
4445,Alamo,CA
1333,Simpsonville,SC
9856,Pendleton,OR
1423,Kutztown,PA
6156,North Wilkesboro,NC
3246,Pittsford,NY
2059,Suffern,NY
9792,Fredericksburg,TX
19782,West Liberty,IA
729,Mission,KS
8963,Collingwood,ON
400,Northridge,CA
6255,New Westminster,BC
8755,St. Albert,AB
5402,Orangeburg,SC
8537,Layton,UT
1011,Eagle,ID
3105,Red Wing,MN
4236,Hartland,WI
6734,Oakville,CT
14806,Bradford,NH
2296,Scarsdale,NY
7051,Sonoma,CA
4907,Scarborough,ON
922,Rancho Cucamonga,CA
952,Huntingdon Valley,PA
33691,Experiment,GA
20428,Golden Valley,AZ
3867,Glenside,PA
2905,Lake Elsinore,CA
11969,Ridgecrest,CA
2542,Levittown,PA
802,Ridgewood,NY
10556,Fort St. John,BC
7933,Wharton,NJ
2961,Elk Grove,CA
1894,Cumming,GA
1587,Tyler,TX
10078,Seneca,SC
3830,Canyon,TX
7814,Scottsville,VA
9245,Evergreen,AL
719,Enfield,CT
7310,Roseville,MI
