cbid,customer_location_name,customer_type_name
8508ff96d9c73cc1e18901a612fc009b6ea70bb4ff92956db537c2f46204fc74,national,businesses
f1264a59fe9963fd31b085e40ea9eeea620e8aafe09ba91bd69e1cd69f06b89c,local,consumers
b9ca38e96df4f4272c156dacb816b8ec4814a1c2a91511391558f2229c23250f,local,consumers
5bbe2a466ee5321101917ef339bc65e0b2e7a0348bcc531c925c3c1deed4be83,local,businesses
35bbf9a35d426884ba1426b7815827105d390eb15615003d36d9af564d34a552,regional,consumers
4bc3c9db885e90a18533dc40b99f099f1650be15b1fb0f091681ebcca063f4cc,national,consumers
2d9b0a86bc44fd8e3e9a8a206e650335b8203932d1a17f71856f02f8b7d67d77,local,consumers
98ca481ae40ee7d476a0f5f6b417e1a6e031a2ee7b48173a6b011b9bf110a76e,local,businesses
9a2a5e034b77c530952e023d24b3ab36f40f81b86d40b44d2aa3765e771a0ae2,regional,businesses
c17414cdd8d6fcc1ddcfe4fd3c576fea79ea9e087a0046baed0d1571edb854bd,local,businesses
ffa12de0db3fe21ff1e59bf493967f4269126686c11a4cba5091fd13c4de98c2,local,businesses
8caa9c2fdc7c829ee61785bf9c66ee7559b89dc5b8ff42251973919fed5667b3,none,none
d3bf7dbb36d54d53f07f0c711359a93c58be681f0c1101df8e57c007320c7955,national,businesses
bd220bc74c341e59d30674e93fad6a96f668d76e83506aeebe0a69432670c09a,local,none
0b0991d970304b9a8442ecda62c16bc27154ffbf5896b6fc8bcd80008f08ea2a,none,businesses
f4da6a42c3f48a8785f35d488595e552c255e1399177f1cb6e89c21a821aee08,regional,consumers
142ee6117b532d4be32e97a9cdff0c4ad16ae0405361490db41a7d32688ad65f,none,none
0bec85fb300509b46316dd6fd76d786da39c072b4465d73291bc3df3397f1e44,local,consumers
01f9aaf686495a1f5af196f49905f83c4072cab4779388f40f21c3b059a59a5f,none,none
6ae41b15e3386524009b889b51e9943c2cf980d5f72a04861833d834f7aa4ab7,local,consumers
c971490c1eee23c8ee2a48df71f150e6820da98777465390588149346de7ed2e,local,consumers
74fd9fd86c14e803fd3674bbdd58441d1875cefec7cf54eafb548b795c1502e4,national,businesses
298e34b23600796bb9246f5dc68bd8c59adcc7a9d372959b1f18325ed8788b71,regional,businesses
729247da54b9f6fbf0d261fb57a1207e453789e688f1699d21a264a2fc654aa0,local,businesses
1a395f7a930e391246579b672c9bc52097b03499feff7b0cdcf5539623c5679f,regional,businesses
6441c57ef74e408f5663b8b6b000437bf5d79c7356c76207fc7e5080ff29fd6f,regional,businesses
7d9a949a985136f1c8d50a028535d84aeb2cee0fd19f81c86032fba7796e584d,local,businesses
db47e4d83a96999de465e795e2c7112015bfadd12427a02fdb5ee7e36948d251,local,consumers
e969d5ae69d10a39b64f55173003e83512abffd4c760f3f3d506fee96b64833c,national,consumers
62bb3908424b5ea5a1af9541b14f604caba242153cbec11ff01817e1141461cd,local,consumers
917d16cad211dec5981af796ecdf37c287078159b224b35253353be78bcb15ba,regional,businesses
c64b1397cb6d84057cfbb9fb525c73b3d2237537df462825c3c03d500e657af4,local,consumers
fb9a94565de936bad45fd88da3288787375f6afd144488b69ee17dd9b84cbe23,regional,consumers
a998c0b3cc16f0646f2e0cbdfa5ce2e2db444c6a736cc5caf8d215e08b1d2cf4,regional,businesses
04d3b6e39daa8a4c2fa738124d9db30bf3ec504334b87314ebaa6fb2cc49949a,local,consumers
79888472e54b57702a015c6c80d621945128077e026cc2d7127b3deac50b53d2,local,consumers
d5bbd9745b7e578ebb731962359ddb36e1b593ad02b718b1d770e1fd71c20583,local,businesses
58582a8eca988b8991a1cbcb7e04b1c39e181df56c18977f480d2b4110f9f778,local,consumers
ae9383d62f1a4aa357a393aca66fb9d42606b5f47c1c6a5badd133a3b159e050,none,none
dd2684e6fc55b886f01bfa72bd08bb7946e573b997a731595e3055beac05d572,national,businesses
b044c0f4d505c98881ede160535858ea0fe5b6b8c148869b6046dcace624bf52,national,businesses
a0d0f514f7a35375c894b0b561856ce719acccd8eb7f25cee47b77b7d02f1caa,local,consumers
93c5103244544878dd15783186765db1840eb2b0a1d9948fc93a334dd61e90ff,regional,consumers
4946a1d38624c37afca1cb76ab548a1009a1afc0fff579df1fb9f4f0468cba72,national,businesses
c347d4628df6f85fd94adc6e9705b69c3c9a8d096f664f3e37a2a465cd4c1d00,regional,none
68bac3612f786795daaf1f4081273d3db6bc42a2d356837ef632b0c82122c71a,regional,consumers
3fea3064386eda629361cbd185b241a80fa528fd3d8bacc9927157451338a4eb,local,consumers
b1b46aef2d0cac2fc08b5bab408f902841abb70c446651fb400ac1ba4b4f91d0,national,consumers
cb598344a0c55e00984c7ede40ee890494eb6dd65b83957c291f04327767aeb8,local,consumers
bb1b4f5c5e20fbffec20aadbfefadb58130d84c049209cbe5d7e2150c91cdc20,regional,businesses
3a04ee10c84f249bbdddbf15ed65bb2419c142f729f955530ecfeb43b490cc95,local,consumers
2284aa0e707e7c168d24da03ae726b7020494ca341b19de95107d4484796722c,regional,consumers
8302aef85992ca98b75c3384a720048abbb01b706475da899a0af348e8e841d5,national,businesses
2cebb83f33fd86c41b796be6142330a2f4f1d6e59c095b2fa246b712aa55f067,national,consumers
5a282d80b75e08bf2ffd788cb9e2e82e571a53967a0aabfe106afb656d19e3c4,local,businesses
2faee2c1bd827f87e79659a26a38740fb6d34b29e017c7885a87553af4ece566,national,businesses
b58b5edd37f51436046d9c41cbdcb97a2c37db065106baed168d31afaafcd79d,national,businesses
477c536ce0d828361090990d39239c6cc0e217e43d0292bc9af4476b45d53879,regional,consumers
aad54e6feb8c8a8051ae154f0091e3e7cb466684b15daa8ace4e9951cc4ad236,regional,consumers
6d788c3b8110272be04628e6d7db88936a4ad612cc53fa53f03e51188d7c8e5f,local,consumers
20cae57eb983c2945208ea348ed8893ac0c2d4d005e4614156738a39e37120ed,local,consumers
97a837e6deaa581476496d3d46f1783e93c79d86e981870f4ce0186062fd81a0,local,consumers
a0a40d43484a51a4d22af25a787383554578a7133104d0c2036bcaecc66a2bbc,local,consumers
6c39f8adcd18426b248b4d8e7508882ee30f76f968dc1373b23f0fab66f338ca,local,consumers
bf4de25a611c0946c051b1063db357609ea18cd48bba5191236bf46e7e9f772f,national,businesses
04138bb541eddd52081a309e3c0e59e812370e2ccefceca2f97475d4cfabd6f5,local,businesses
7d7fdd8ed04165819cca1e732758383aff3d101c1cc381e8dbd32bb1f040002d,local,consumers
22ce866c9f95d0cf09825528fa79c1bb8a1a6f141ff7552f07661de3ebdf92f8,local,consumers
e221836cbcc5294b1f45b0c8d722889166df65cc92339e82f4d015b3d6bbd5dc,national,businesses
6cb7d67f1c8fae9f0a14de998c6ccf9b3f4228664e1d45e153943fd934c7b6ea,none,none
dea593e9ea56ff73afbf529ac2882d3b4122ba98512df3ea352a6712d719ea96,local,businesses
3c6af32b9ffc40f78b4bc83e43d82e18b87b72bd8f5b182e86f87d5141dc2611,national,businesses
2dee8051b9487dce7680287faff3fd74a693421efc51f8924924ee9ceababac2,local,consumers
b8ba60c6aba1c2ba3c36da9571348347bbdcf69f00d47a6c44ad7dfa05eb9c96,local,consumers
7191c34abed795ed3ed717cb1c7841ddda6d700f9768f009ff2ca93acba5379a,national,consumers
d9d87b654a14c96a12413c87b8b6ac551dae63ac63f285ef60c57118fc0b68cc,local,consumers
68e4a3e4fc9463b7225520eeb9754a6ba52a1dbd2257f409cded9e7bc347575a,national,none
9f61db30a1af0351675af0782ee055cfc6e94dd54638b518056bbd4c4af2911e,regional,businesses
55a8ed7276f376fc09eb366ca13d9c04e2e15981462e5a61624ce7d9dd9dafe2,national,businesses
cbde42787e3e773b6ad583a479c6d7ec6e3f383e53ed4d7d2eedb4ae6d8501da,regional,businesses
d3e595927b62d791b196e7dba5331336702e8b1f001aff883a191dd0c5a429e5,regional,consumers
5417711dcb4208c82670528f8b3d5ccb096bfedba33d71a59f6a85fb673a749f,local,consumers
1e2a609a4546e2d1e073714d5a203d1f2f500ab0dfe5e5e857f406b6ea5175b6,regional,consumers
95825b27b04b2cda82d11df4afab695998ae54544c86c054f32d975b193d5c9b,national,businesses
039eb3dbbac69f305b36fb72aba86c2c9f5fb1f499156adce8fb4be303841510,national,businesses
2006a8e01139183339468c80eee0093b6eae12cb26dddd7feaef303f6ed5814b,local,businesses
09e6615b2412ffee1a8924d3eb15af1f173d08eb53b33c882c8efe4ca669a4b2,national,none
9fe65a6f81fea711afa9a3f3bdcf16bf7bc81f0a5661d96d1c29a775466d5a2d,regional,consumers
adfa5f6b091e02f70382d11952ef8609b0f4dbf3cf56c921ba28ef38d0f8dd58,local,businesses
7a9c68cd511ad58b67d8181c4ab9191091a31d71d74063d75acce57392e1c8b6,regional,consumers
c29f0e96b23c622ecc29565ff3358ac56eee9b68fe4ce57a9f1ccbc83ebba43d,local,businesses
0595b3bf060ffab0cde9c1bc57750b604744f5d97c2215a14f8f350cecd75015,regional,businesses
4b45d57870eb4bae271986b5dd9297e5cdf2d6909dae82451d2163edc3a0b0b4,none,none
b47d5d665ea9059566d6995515cc2aea2a6c55dd1c2da8255ee7083abf2c368e,local,consumers
5f4d0d9aea557bfed605342ef586f090ddbbdef5d6337311458eb18a436c4902,local,consumers
927a7336b1f2c7abfaa98ef48a7d1ecb5032dad3b7dc03c98ceead804ee06e20,local,consumers
93f554341ac34266119057375faa6071ae67bbc770f2f1650c0dd25e0ce3d604,local,businesses
713d45326ad232033f7bf073b1c97a1ca569c6aa3dfd5754d4277350f2957301,regional,businesses
b3808b8dfd4e3a2d5d2ad9e017d06d97d8fe962a706939ed30bce4ab1f8b293b,regional,businesses
26b49bbcd9c381da5fae0906b66e89ec5848bb1bf55a438d686f1058e6d18647,national,consumers
7e840ac2aa9ddaea75ec9284ca649cf5282fdf85f7d1becce08b58b06360d5cf,regional,consumers
9f41d30f8fab28d1facd0e24756781eced74e2b443345b3aaefe9930d912e6f8,local,businesses
c12c262ffefa279c707f811311dbf1cedf6b7b4d01ec1b888ed62b8995b268a1,local,businesses
337b7049ae74ad2f05043cf3891aa792ba5eadb5b94fcc145d08dc1bde092d2a,national,businesses
98394460419ff7c08478fd770210db81bb1650fe7119b4d2944696dd6761dcfa,local,businesses
b2164ed93892a63a3e251fc279aba5823cb7d072dd416f983c917f8acb3f1bda,local,consumers
5dcd9d74d880a04aa2a935b9950461975afc6dd154defb2f20d20711cdcddc04,local,consumers
13e544f11da73e3433f5bddcb07ca225ea1b17a10c63e4f61e9e72c95f13f741,regional,consumers
aa12739779ede5956656b6ebe35fd5f5b1d15253484c70d7d6a7db02d2c4fd65,national,none
767facd239a0ab06645409ece7fc83e94586419b571ad3cf3ed89e5d52e7d01c,national,businesses
8c3cb88d9b1b16552d455958e6e8ea8d2bcb0cfe9308bfd7190593b687717b56,regional,none
e06c76ce1341cc9e61c2da7294c78dd03949a1b0174c2a67f8b97c6623620b87,local,consumers
57d3934924a5b3a67547a16750ba9f7fa6e0eb761dbd2af2e1f7f5e8f0778a98,national,none
9850212c9fea8ef23382d87b08b401d7e694fcc59274301edfd642f2744bdeeb,national,consumers
52d901d8b507cc43e297eebd3144691d603afde93330e215b451c87f8690478a,local,consumers
5c44d8d82c87fc8f741a3c575287d26af205622594310e1e41aac2bdef2e0311,national,businesses
1e42aefb845f90e156d8be32e18411793bd610a44311b37347c47ded05b732c6,local,businesses
bcbdfe230205c32569dbc8c1d0a0413a6a22d7125f5951065a891ead87d3223c,regional,consumers
76997223165684e19cbc3abd3fae1ebe43ad3f0cfec10aa617e6a52ab8ce4cc0,national,businesses
b2ed3cc523e3febb19167d1e092becd9aafe47f55f183dc15a8a499ada466030,national,businesses
073fe1db289d297798924797f6a6d8230f1d9543a36d9c59ffa900551bcc661a,national,businesses
59bf6665779406411d044115d5091473322eb17a709b37092888a60fe4feee76,national,businesses
dd6cf6816c915495bfc35678f03ef35f02c0b0f8bf4e987a3dd52379bf70be5f,national,businesses
a7d817486eab912564acbcb60112fde62e21154e627ac870df54c58c5749eae2,local,businesses
d436004b84cf402e6c0e212d62f8fb4048328a6248c406f2a56d20b25523782d,local,consumers
2778abc4469c750a0eef5db56773e5386960b09806003a5a288ee47908a1231e,local,businesses
8d5b4090e17a15060ebda8bd8824904d700b4277654076d0749ca412fef680b4,national,businesses
cb5c32632d6de95cde0931b56ca31b5a4550a68ed319710c4829978b892bdf59,local,consumers
4a279f1c018e00008ea69f08e290a72e026bf62062ce128e67d70ee4c6dc840d,local,consumers
1baf10e6110d7d3485709f2b908de5914dfe5d5a183a052ba88094fd82c33fa8,national,businesses
1ca22a17a9dbad71d2f8e01e235e8917d3b8cf168baea194b355d158b1556024,none,consumers
6f89d500e73ef6ede7dc48fe7da88f7fc697820473e876b09828a748cff87fd3,national,businesses
12bff2a04ca9afe11af66a6c798c3851a02b0b531cbb4963d46e6b65668d3505,national,businesses
4c1b5305963f3bc48add0be7d86792d704343e08c77c8901206ab19fa5527d92,local,consumers
50fcb11dcc4709cfb35c8c7d6e52b0a99760f5d27f334a26e2198b149e71a109,local,businesses
8c0d9e96847cfc0f9350e55b1d80f933afb19d4ff03f5d84f011bc6ba753626d,national,businesses
ed43fdc6dbba8a15fa48bad7ee76cec4a25343bf353a3e8cba24a2b22522171d,local,consumers
015c04d2f29eaae62e77f8947bdb5a8f46cd55a0ebe93093cb49a68aec18d36b,local,consumers
417143dcec38d700ce73230de43a8fb5eae22647b9c0fec3d2297b74107a763c,local,consumers
7668bf26337d36b246a9bc0ac223edd4388e4df68d59ce24b71236fc03d7ddf2,none,none
a5e8037e2e570141180fbd141bbe874482c7b9760d3e8bf9720543aafc28c926,local,consumers
a3a793577a442c7fa1f7a44bd468add298024d384e4778799c1593873f61650b,local,none
e9026e9528cb82f71827b299565130bc17edf59560a9f387ccd0b35111248dc0,national,consumers
4e2b10efb7a697c7619ebb5e8fd41ba146f63a0deea3eb2331d777aea79d9ec2,regional,consumers
08b7424ee2329c9ffc8c63aae17fe51c78d573077edeb591892091b31593b2d7,local,consumers
2c5d86c2268064dd88d0a4d85c55d5116da8d40af511d3f009e5c14d8358407b,national,businesses
c0e0bf9b4acf1af206629316ac88d67da01cd87a1a684071c7358c8a633f7131,regional,consumers
cbd47b574b7537681eea50ed225dda2fb262eaa3bcd120cda7270a4133a93f25,local,consumers
c5ad2429a96f3a3115bd1550b08e55b61766f7dccdb7e9ed9ade05d882b3eea4,national,businesses
e6b67612a0d95ffd666eeffee4fe5a926cf6c11ecca3f1ae2c204b545603249f,local,businesses
be4f6d2335bab126aaf20a172320e6c4e1d719e8e525f5f3719842bc959d9a65,local,consumers
7a567b615ccb3efd22b81989705e9bf6ad1641030bf02d18b62da26271e1e801,local,consumers
2933c40016eb71aa58bc51697274df29b8e8db605ef1ad6e89ee9e957f6e9036,local,consumers
cccf19de69eaa69c86e8bf2ff74500cb96f73e2418dc2ff7556505d48ff5226c,local,businesses
a3da975527258ca2c7a34dfd3bbf37a0a5eeb4d264a89ed2662d6a1b06dd6ee4,local,consumers
fbfc61238df049e205b82ee4bbafe6c1432e1fd6724a010d438caaa42fff15b6,national,consumers
89ce8c9d66626941a9ef7b82ff09e144462226e27eadeeafb33f94c039918903,local,consumers
ea49a5eaec455185133a29515397bf35b2fc3797a430dc2ef3f65ca792ca8b5c,national,businesses
8e9367055cadd5c411da36e60a9828169e2310206f5ed942232f284dae15c090,local,none
ac44c612a1688418ee3b7c117501564a594d54365b9d981d1453d2a7bfb7b5eb,local,consumers
f7e5eb1ee228d4725cf24cf12be1c4aec6d13145cf0591f8d0ea1f712e3e902b,regional,businesses
8a8942776bae315163b97ffc3b75b421edfee230c9e0832b4fa1a9c13c08887b,local,businesses
c6e9e9c06b53bd1f77d935da6d9e37913792b7805efcf5de87531cc5188bc4c6,national,businesses
439099156e0ef6989d6f732a23a5cc6acf135837a7127d1be835f75e590ef051,local,consumers
6485c285071a343d69380f7753f2168f1d918957b23cfa01f5b33e8a19266548,regional,businesses
af2b24fa56b3639bdffa0f6cab48137311fb5e038ef33bf84340a6ed75929317,local,consumers
207ad17d2f6c103121f77cef02db23290e3defc95cd15359759fef077b0a495e,none,none
1e4ecf8ff237ea34130e8c86c2396af44374693d5ef8a81b08cca004ebeb420a,national,consumers
9616d072867234fd7ccffa88c20efda946c750a919b780435caea49ef29ae6d1,national,consumers
37e51dc497de75ba6a7d1ea782b53b9ea2ed70ace4b3a1321aae874c0486acfc,local,consumers
93bdc9d281ee13081d5ba27a2bb701b9df559c3bf7b7ea5ae7fdfa5590f2383c,local,consumers
df7e8424f828c746c167951e5abaf8705673f0cfe9bbb250ed99a4e7b7f459ce,local,consumers
a88e5b56b907fd7ac3ec1351fa6f8a306f058b9e335790a9320693c16a9c5342,local,none
b1d8d163d073441d5fdbb5e4b44806b026a8304d37b974658631fdb0ff25112d,national,consumers
768f4cd701f30ab0e1542383153e667455ecdabb92a572db4ce498a4eb95a7d6,local,consumers
0f9dbc56cdc8951c04ae4008e1828628a3d08d59c7aa808f83cb98339abd39f7,none,businesses
71bb809169bcba6f4e2d593b53f9b787167d9183e13bdffb0d364465dc21b3c8,national,consumers
a401ce8c54547f77459b19c408342115774b7f0ce51ace0072405ba7dbb7d5d6,local,consumers
323980fe67dfa65f5d8b5cbcc91f9b9faf9dc080fc5e658a52620b9672bc0ede,local,consumers
412fb78737cdc99783e92610d8a6c78c321ddde95c2b2331ff0155a570884d4f,national,businesses
fcb10727b25bc9be51eee7cf4d342bbd7d4394b0e98d04d8d0cde751ce701385,regional,consumers
a0fd59077f24d3e09101830792ab921aa09daa0526e53b10a8f15f4281ab5cdc,local,consumers
bf72b0737cd530c74e3264610768aae39615a3328e489c7f3ae1275044f22f7a,local,consumers
aafcfa5f5414ac644432802eb1201ebde0c79911ac3eb2834751e1c1adcca6ab,local,consumers
df7313aea7ba47abd441d010aa7720daf65c38e62069c8491600c0f1bcc263cc,none,none
e8174d1702c67916290f47cd42ad330e22fa33528f47cf6234c7a3d6e7c253a1,local,businesses
5930387f1b551db0201d1ee64db7d28de4c47ab04aa04534915ecec2ca96e078,regional,businesses
f1641cb42e390d1f810fefd35b767f09fd28f144711c33f21a26776e7cf004b1,local,consumers
15d19b942cde9ad20626b89359416ff225e0e809dc21aa63fb699df30dcefd03,local,consumers
62120c82a627be9505b12e285db190e36f5cf12fe354892db26bdcacd59cbb20,local,businesses
021e22e2cc6de843bf2beb0eb8c1f7ca9b9d065bb56b8f9cb50250c5d80e85fc,none,none
6befd53626a3212a585140162fd449ef856f69ceebb2bdbd857ff411e9b7e1e6,regional,consumers
2e91ae27fce04e8bd48e5133d5195ff4ab77d198e2cec9eb816e3782bb0d0853,local,consumers
8900f167748c39995e89e558dc5c4c87bc89fdf7c49df96a021e23e09fa7bb43,regional,consumers
32726bc3d3a80444c6d71f44dba44e57a3c98c28c0c1d23b809cc9727322f6cd,national,businesses
e8eaddabca442ad9cff211c626e94f54ff71ccec3986ee97aad5dbcffd83cd68,national,businesses
796b3aa9687e743179ea3c96741eb2a72df4545af89f3c6d4cbed49dd6b607a7,local,consumers
1bfe6f02c33a9fa56294501cd5f79165f08405308b6267e37b5e31057c1a9e91,none,consumers
eb71ffcd5d4bf36652be3817edb97759129bc38909a15c2137ceaef187ff43d3,regional,consumers
1133380346f56a5505bbfaa69a53d33f1d408af67af694e0ab30332ed2c0029c,regional,businesses
62aa3a65131ff79d9d706d049ea86116551e2c4f1f5da3faf8a76c6aadc4fc0c,local,consumers
6cdf35f3b42369baed77c4e4e18576cc01d684ba84e574cddc9801e1b4178768,regional,businesses
adea13d8f948753afecc6ca57750cf58d3a655589ad654013329dee7209bb70b,regional,businesses
65badcc5791612b8d0f125ecde6c6a76836035e3cfc9f1a3ed3d7ed3a831ca65,local,businesses
90a5b2b9c8c4e069a5c5674fd1630703c7f49ebe89c41097676f21bdbbf90de9,national,consumers
0a44b84defeed8720db0cb9eb5f00659b61ccc2038663131afe11e25da725190,regional,businesses
872158ffddf32e9f68ea8a1b2d30d7f986ec5e6f520bf4eeea6640d32aa2059c,local,consumers
a9345ff4cc2a8de19b9e1d5a8768029ed814b245b38d7f6bdaf684dc427e6e22,local,none
ac77e5c11198adf9220baeaad45b54542a67bf1a8500fdf05e9fb232b72a81de,local,businesses
4a91e1790545edb125815eb23b6215659b4c399726c7612eb5435d98a76ccf22,national,businesses
fd6ba8a398925a3301e11a0d49104e4c0b1ea95d8964f4fd3c509dd0475a9890,local,businesses
697a1ff7293dab0426b79e3f0e75522733cf7b39e3bd49c8b0d71418209bae52,local,consumers
8ff70fda3252cc82a4c54990bca9799f39008eea632f2534e9e6e1105e5faa64,local,consumers
62f1538c31038fd4164e7cfcb8de5ba1ad32bdc4cd4b506df1715bf0555d5e65,regional,consumers
f23ad612647019e0219d385ca8158fd7b6af49892e291aa3231604333111a578,regional,consumers
e304b78cebfda01a0a44100042bf6b292c505f2c0c63c3ca94cf71294bc0d655,none,none
81b63c8da17d09b635747b6631580cc4636adc1001f250133214c239c9dbe7b4,national,consumers
669f58703093f3bfcc5d221898ea6a4f4433d55623868ec120db787e936377bb,national,consumers
7dd2decf06dd4e059556964a182f0ca58ce9f777fcc82651d368f6dc0981817a,regional,consumers
482cdd98af294c5b1039a907516acd08991bd5bf87d49f44221a242d2a056c5a,regional,businesses
185547de737c26a749f182643654f8c4d40f5c94f8c7a9694ebbd331424966bc,local,businesses
3d6110bb2af8b0e791ce2ce900e025977e9a22c3e46a7e1729bb5b8e0d761ee5,local,businesses
ae66a3b626aa2b3f9fb858a43d3a60dfcdf4d6e5d6efc95b96bb923b4610370a,local,consumers
89a20627e3068c7d0689f2afa3674c13a57d27c707848fdf451c136c1d1d2906,local,consumers
eafd5930adedeb363b6a169234cf857b65fb691194b37d57910d5aa931ded282,national,none
54e0c98332f5d4ac83d0d2b4623e153cba5c7dbbbc0a68c0788d5a2533058765,local,consumers
0a64de550bea3b6bb516de9244177d329a0b814bdf8be9a8cb97373780d6ce3f,local,consumers
ceefe1c4a2bc7382de7667a09a378f94153f4d961e160a6644707091f58b786b,local,consumers
7404924cb9cde33ce2d5a6ba1e3f1cf90a28b8c7fd8c65d44fb422f95ebaed38,local,consumers
53cf0ef9f331cf194a7f40d8be90799fb681913db3fbbcb5dede9cde4b2f04d6,local,consumers
4a6d448b3b8a430ddc3b7acd2e104cc2ebd3feb4b982e5417fa5d2953dde2f26,local,consumers
e51154ead9797cf9f7c9fb008386d57dc060070e32a22d368953a4d7e5114533,national,consumers
ffd787b1f5b05157e858f1bcfbb38ad4924afef0487a36540b952a9c3b41c3d4,local,none
f89b688ff85f2459b48e7a906a95081491d685e974521f2e0b2a189a21131548,national,consumers
0b24412c41ca7003a45086d3366760965856bd0e9d2a9bcdd338c477aafd5aca,local,businesses
9a5f21a687d44829b48a932b1a6d919bd3b4be0fc01967dad84ae3c5fa525883,local,businesses
738414c0cd97e1cc19fc2aed538fecf5f8df78802a0429d7b0a75d2384bba9ee,local,consumers
98aa2638090d06eb595b2dbe8170bb848b0ee7781855a0f9e7ea7aa266672e52,local,consumers
e4aa1a85ebf93a814bd92a5a93a1f2fa82287098a2bb42d4c19fadead600ee25,local,businesses
34cb429c220bb04b2d6a161e77e08b016380dcc731b3664010ad24f8ed1d79ed,none,none
5d89c58ee08de714367e6628b28821e91bba312c5689952e7bc56faaec191e00,national,businesses
5a22babc15bc03bb3f929b14c4bd3e56a5aa0573ed411273274bb40347fd95fe,national,consumers
f568183df580585af818543d1d35bdf4bec817a191737fc79f18191727bc3888,regional,consumers
18cf04ab9d204e3d0bdaa741798b058c8660f0ce954a1c45dd91f75acaf0accf,local,businesses
0a56bc20a86b7f8dcf091d6316487858901e91697f1447e6c87efb66df08e8b8,local,businesses
af4a826150a9381bea258115d906818b8e14062fc2965d874b5b7024081a197a,regional,businesses
af15a01b9c52a5d2bde50c06d9a46c748858c1ab1e3761156de0b10ce45f009b,local,consumers
39c1ce5b8a683dd866cb0bdd7e14cb34479e648016d9be6995f7aa797bd4b10c,local,businesses
5d6930d29a62c1651757ec48487acb951c1bc0c458d0ea28c82b513b5cd4c26d,regional,consumers
a80297bdd764f64fccf33ec3bf2d1bd72e39958215095ab66840029f021aa513,regional,businesses
b93852d975585115661f39a5eedb4ad7d35dc9efda71a10ea9e2e30689901694,local,consumers
ae198a2655cda57e4d9f6a42db4488dffd942dca372814992eaf95cdd6b546f1,local,businesses
ea193326623a1be5a6d4ddbd87db2e04e7117af7dd87567298cb2b7c681c0b29,local,consumers
a233a119098a826d6714adc3d65e259b36f858a78f0ad7d5f2fd4c7b702ac533,local,consumers
bd640d4f1c5d7c7be9537f6e64f1a99ff9f4b1b7155b40590e29b4384dfdf3b9,national,consumers
